parsed,lcvp
Lychnis viscaria,Viscaria vulgaris Bernh.
Lycianthes maxonii,Lycianthes maxonii Standl.
Lycium pallidum,Lycium pallidum Miers
Lycopus americanus,Lycopus americanus Muhl. ex W.P.C.Barton
Lycurus phleoides,Lycurus phleoides Kunth
Lygodesmia,
Lysimachia nummularia,Lysimachia nummularia L.
Lysimachia vulgaris,Lysimachia vulgaris L.
Lythrum alatum,Lythrum alatum Pursh
Lythrum salicaria,Lythrum salicaria L.
Mabea fistulifera,Mabea fistulifera Mart.
Macaranga conifera,Macaranga conifera (Rchb.f. & Zoll.) Müll.Arg.
Macaranga gigantea,Macaranga gigantea (Rchb.f. & Zoll.) Müll.Arg.
Macaranga hosei,Macaranga hosei King ex Hook.f.
Macaranga hypoleuca,Macaranga hypoleuca (Rchb.f. & Zoll.) Müll.Arg.
Macaranga inamoena,Macaranga inamoena F.Muell. ex Benth.
Macaranga lowii,Macaranga lowii King ex Hook.f.
Macaranga peltata,Macaranga peltata (Roxb.) Müll.Arg.
Macaranga recurvata,Macaranga recurvata Gage
Macaranga subdentata,Macaranga subdentata Benth.
Machaeranthera,
Machaeranthera canescens,Dieteria canescens (Pursh) Nutt.
Machaeranthera gracilis,Xanthisma gracile (Nutt.) D.R.Morgan & R.L.Hartm.
Machaeranthera pinnatifida,Xanthisma spinulosum (Pursh) D.R.Morgan & R.L.Hartm.
Machaeranthera tanacetifolia,Machaeranthera tanacetifolia (Kunth) Nees
Machaeranthera tanreafolia,
Machaerium aculeatum,Machaerium aculeatum Raddi
Machaerium acutifolium,Machaerium acutifolium Vogel
Machaerium brasiliense,Machaerium brasiliense Vogel
Machaerium brasiliensis,
Machaerium hirtum,Machaerium isadelphum (E.Mey.) Standl.
Machaerium nyctitans,Machaerium nyctitans (Vell.) Benth.
Machaerium opacum,Machaerium opacum Vogel
Machaerium paraguariense,Machaerium paraguariense Hassl.
Machaerium stipitatum,Machaerium stipitatum (DC.) Vogel
Machaerium villosum,Machaerium villosum Vogel
Maclura tinctoria,Maclura tinctoria (L.) D.Don ex Steud.
Macrocnemum roseum,Macrocnemum roseum (Ruiz & Pav.) Wedd.
Macrolobium colombianum,Macrolobium colombianum (Britton & Killip) Uribe
Macroptilium prostratum,Macroptilium prostratum (Benth.) Urb.
Macrostylis villosa,Macrostylis villosa (Thunb.) Sond.
Madhuca laurifolia,Madhuca laurifolia (King & Gamble) H.J.Lam
Madhuca malaccensis,Madhuca malaccensis (C.B.Clarke) H.J.Lam
Madhuca neriifolia,Madhuca neriifolia (Moon) H.J.Lam
Magnolia,
Magnoliopsida,
Magonia pubescens,Magonia pubescens A.St.-Hil.
Mahonia haematocarpa,Berberis haematocarpa Wooton
Maianthemum bifolium,Maianthemum bifolium (L.) F.W.Schmidt
Malacothrix fendleri,Malacothrix fendleri A.Gray
Mallotus griffithianus,Hancea griffithiana (Müll.Arg.) S.E.C.Sierra & al.
Mallotus leucodermis,Mallotus leucodermis Hook.f.
Mallotus mollissimus,Mallotus mollissimus (Geiseler) AiryShaw
Mallotus penangensis,Hancea penangensis (Müll.Arg.) S.E.C.Sierra & al.
Mallotus philippensis,Mallotus philippensis (Lam.) Müll.Arg.
Mallotus polyadenos,Mallotus polyadenos F.Muell.
Mallotus stenanthus,Mallotus resinosus (Blanco) Merr.
Mallotus tetracoccus,Mallotus tetracoccus (Roxb.) Kurz
Malpighia romeroana,Malpighia romeroana Cuatrec.
Malus,
Malus fusca,Malus fusca (Raf.) C.K.Schneid.
Malus sylvestris,Malus sylvestris (L.) Mill.
Malva,
Malva neglecta,Malva neglecta Wallr.
Malvastrum hispidum,Malvastrum hispidum (Pursh) Hochr.
Mammillaria,
Mammillaria heyderi,Mammillaria heyderi Muehlenpf.
Mammillaria vivipara,Escobaria vivipara (Nutt.) Buxb.
Mammillaria wrightii,Mammillaria wrightii Engelm.
Mangifera,
Mangifera foetida,Mangifera foetida Lour.
Mangifera gracilipes,Mangifera gracilipes Hook.f.
Mangifera griffithii,Mangifera griffithii Hook.f.
Mangifera indica,Mangifera indica L.
Mangifera lagenifera,Mangifera lagenifera Griff.
Mangifera littorale,
Mangifera longipetiolata,Mangifera quadrifida Jack
Mangifera macrocarpa,Mangifera macrocarpa Blume
Mangifera magnifica,Mangifera magnifica Kochummen
Mangifera quadrifida,Mangifera quadrifida Jack
Mangifera rufocostata,Mangifera rufocostata Kosterm.
Mangifera superba,Mangifera superba Hook.f.
Mangifera swintonioides,Mangifera swintonioides Kosterm.
Manilkara bidentata,Manilkara bidentata (A.DC.) A.Chev.
Maniltoa lenticellata,Maniltoa lenticellata C.T.White
Manulea tomentosa,Manulea tomentosa L.
Maprounea guianensis,Maprounea guianensis Aubl.
Maquira guianensis,Maquira guianensis Aubl.
Maranthes panamensis,Maranthes panamensis (Standl.) Prance & F.White
Margaritaria indica,Margaritaria indica (Dalzell) AiryShaw
Margaritaria nobilis,Margaritaria nobilis L.f.
Marila laxiflora,Marila laxiflora Rusby
Mastersiella digitata,Mastersiella digitata (Thunb.) Gilg-Ben.
Mastixia arborea,Mastixia arborea (Wight) C.B.Clarke
Mastixia pentandra,Mastixia pentandra Blume
Mastixia trichotoma,Mastixia trichotoma Blume
Matayba,
Matayba apetala,Matayba apetala Radlk.
Matayba elaeagnoides,Matayba elaeagnoides Radlk.
Matayba eleagnoides,
Matayba guianensis,Matayba guianensis Aubl.
Matisia bolivarii,Matisia bolivarii Cuatrec.
Matricaria caucasica,Tripleurospermum caucasicum J.Gay ex Boiss.
Matricaria maritima,Tripleurospermum maritimum (L.) W.D.J.Koch
Maytenus alaternoides,Maytenus alaternoides Reissek
Maytenus aquifolia,
Maytenus aquifolium,Monteverdia aquifolia (Mart.) Biral
Maytenus boaria,Maytenus boaria Molina
Maytenus dasyclada,
Maytenus disperma,Denhamia disperma (F.Muell.) M.P.Simmons
Maytenus glazioviana,
Maytenus gonoclada,Monteverdia gonoclada (Mart.) Biral
Maytenus robusta,Monteverdia robusta (Reissek) Biral
Maytenus schippii,Monteverdia schippii (Lundell) Biral
Medicago lupulina,Medicago lupulina L.
Medicosma fareana,Medicosma fareana (F.Muell.) T.G.Hartley
Medusanthera gracilis,Medusanthera gracilis (King) Sleumer
Megapterium fremontii,Oenothera macrocarpa Nutt.
Melampodium leucanthum,Melampodium leucanthum Torr. & A.Gray
Melampyrum sylvaticum,Melampyrum sylvaticum L.
Melanochyla,
Melanochyla angustifolia,Melanochyla angustifolia Hook.f.
Melanochyla auriculata,Melanochyla auriculata Hook.f.
Melanochyla caesia,Melanochyla caesia (Blume) DingHou
Melanochyla fulvinervia,
Melanochyla tomentosa,Melanochyla tomentosa Hook.f.
Melastoma malabathricum,Melastoma malabathricum L.
Melastomataceae,
Melicope bonwickii,Melicope bonwickii (F.Muell.) T.G.Hartley
Melicope elleryana,Melicope elleryana (F.Muell.) T.G.Hartley
Melicope jonesii,Melicope jonesii T.G.Hartley
Melicope vitiflora,Melicope vitiflora (F.Muell.) T.G.Hartley
Melicope xanthoxyloides,Melicope xanthoxyloides (F.Muell.) T.G.Hartley
Melientha suavis,Melientha suavis Pierre
Melilotus officinalis,Melilotus melilotus-officinalis (L.) Farw.
Melinis minutiflora,Melinis minutiflora P.Beauv.
Meliosma,
Meliosma glabrata,Meliosma glabrata (Liebm.) Urb.
Memecylon amplexicaule,Memecylon amplexicaule Roxb.
Memecylon cantleyi,Memecylon cantleyi Ridl.
Memecylon dichotomum,Memecylon dichotomum (C.B.Clarke) King
Memecylon excelsum,Memecylon excelsum Blume
Memecylon lilacinum,Memecylon lilacinum Zoll. & Moritzi
Memecylon macrocarpum,Memecylon macrocarpum Thwaites
Memecylon megacarpum,Memecylon megacarpum Furtado
Memecylon minutiflorum,Memecylon minutiflorum Miq.
Memecylon oleifolium,Memecylon oleifolium Blume
Memecylon oligoneurum,Lijndenia laurina Zoll. & Moritzi
Memecylon paniculatum,Memecylon paniculatum Jack
Memecylon pubescens,Memecylon pubescens (C.B.Clarke) King
Memecylon wallichii,Memecylon wallichii Ridl.
Memecylon wightii,Memecylon wightii Thwaites
Menispermum canadense,Menispermum canadense L.
Menodora scabra,Menodora scabra Engelm. ex A.Gray
Mentha,
Mentha aquatica,Mentha aquatica L.
Mentzelia decapetala,Mentzelia decapetala (Pursh) Urb.
Mentzelia multiflora,Mentzelia multiflora (Nutt.) A.Gray
Mentzelia oligosperma,Mentzelia oligosperma Nutt.
Menyanthes trifoliata,Menyanthes trifoliata L.
Meriania,
Meriania hexamera,Meriania hexamera Sprague
Meriania maxima,Meriania maxima Markgr.
Meriania tomentosa,Meriania tomentosa (Cogn.) Wurdack
Merostachys riedeliana,Merostachys riedeliana Rupr. ex Doell.
Mesua cornerii,
Mesua ferrea,Mesua ferrea L.
Mesua grandis,Mesua grandis (King) Kosterm.
Mesua kunstleri,Mesua kunstleri (King) Kosterm.
Mesua lepidota,Mesua lepidota T.Anderson
Mesua racemosa,Mesua racemosa (Triana & Planch.) H.Kost.
Metadina trichotoma,Adina trichotoma (Zoll. & Moritzi) Benth. & Hook.f. ex B.D.Jacks.
Metalasia brevifolia,Metalasia brevifolia (Lam.) Levyns
Metalasia cephalotes,Metalasia cephalotes (Thunb.) Less.
Metalasia muricata,Metalasia muricata (L.) D.Don
Metrodorea nigra,Metrodorea nigra A.St.-Hil.
Metrodorea stipularis,Metrodorea stipularis Mart.
Meum athamanticum,Meum athamanticum Jacq.
Mezzettia leptopoda,Mezzettia parviflora Becc.
Miconia,
Miconia affinis,Miconia affinis DC.
Miconia argentea,Miconia argentea (Sw.) DC.
Miconia bella,Miconia bella Wurdack
Miconia burchellii,Miconia burchellii Triana
Miconia dorsiloba,Miconia dorsiloba Gleason
Miconia elata,Miconia elata (Sw.) DC.
Miconia ferruginea,Miconia ferruginea (Desr.) DC.
Miconia hondurensis,Miconia hondurensis Donn.Sm.
Miconia hymenonervia,Miconia hymenonervia (Raddi) Cogn.
Miconia impetiolaris,Miconia impetiolaris (Sw.) D.Don ex DC.
Miconia inaequidens,Miconia inaequidens (DC.) Naudin
Miconia laetivirens,Miconia laetivirens L.Uribe
Miconia ligulata,Conostegia consimilis (Gleason) Kriebel
Miconia ligustroides,Miconia ligustroides (DC.) Naudin
Miconia lonchophylla,Miconia lonchophylla Naudin
Miconia longifolia,Miconia longifolia (Aubl.) DC.
Miconia minutiflora,Miconia minutiflora (Kunth) DC.
Miconia multispicata,Miconia multispicata Naudin
Miconia nervosa,Miconia nervosa (Sm.) Triana
Miconia poeppigii,Miconia poeppigii Triana
Miconia prasina,Miconia prasina (Sw.) DC.
Miconia sellowiana,Miconia sellowiana Naudin
Miconia serrulata,Miconia serrulata (DC.) Naudin
Miconia simplex,Miconia simplex Triana
Microdesmis caseariifolia,Microdesmis caseariifolia Planch. ex Hook.
Microdon dubius,Microdon dubius (L.) Hilliard
Micromelum minutum,Micromelum minutum (G.Forst.) Wight & Arn.
Microseris lenearifolia,
Microsteris,
Microsteris gracilis,Phlox gracilis (Douglas ex Hook.) Greene
Microtropis valida,Microtropis valida Ridl.
Microtropis wallichiana,Microtropis wallichiana Wight ex Thwaites
Mikania scandens,Mikania scandens (L.) Willd.
Miliusa horsfieldii,Miliusa horsfieldii (Bennet) Baill. ex Pierre
Miliusa longipes,Miliusa longipes King
Millettia atropurpurea,Callerya atropurpurea (Wall.) Schot
Millettia pinnata,Pongamia pinnata (L.) Pierre
Mimetes fimbriifolius,Mimetes fimbriifolius Salisb. ex Knight
Mimosa,
Mimosa nuttallii,Mimosa nuttallii (DC.) B.L.Turner
Mimosa scabrella,Mimosa scabrella Benth.
Minuartia aizoides,Pseudocherleria aizoides (Boiss.) Dillenb. & Kadereit
Minuartia biflora,Cherleria biflora (L.) A.J.Moore & Dillenb.
Minuartia circassica,Cherleria circassica (Albov) A.J.Moore & Dillenb.
Minuartia obtusiloba,Cherleria obtusiloba (Rydb.) A.J.Moore & Dillenb.
Minuartia rubella,Sabulina rubella (Wahlenb.) Dillenb. & Kadereit
Minuartia stricta,Sabulina stricta (Sw.) Rchb.
Minuartia verna,Sabulina verna (L.) Bubani
Mirabilis albida,Mirabilis albida (Walter) Heimerl
Mirabilis linearis,Mirabilis linearis (Pursh) Heimerl
Mirabilis multiflora,Mirabilis multiflora (Torr.) A.Gray
Mirabilis nyctaginea,Mirabilis nyctaginea (Michx.) MacMill.
Mirabilis oxybaphoides,Mirabilis oxybaphoides (A.Gray) A.Gray
Mischarytera lautereriana,Mischarytera lautereriana (F.M.Bailey) H.Turner
Mischocarpus grandissimus,Mischocarpus grandissimus (F.Muell.) Radlk.
Mischocarpus lachnocarpus,Mischocarpus lachnocarpus (F.Muell.) Radlk.
Mischocarpus macrocarpus,Mischocarpus macrocarpus S.T.Reynolds
Mischocarpus pentapetalus,Mischocarpus pentapetalus (Roxb.) Radlk.
Mischocarpus pyriformis,Mischocarpus pyriformis (F.Muell.) Radlk.
Mischocarpus stipitatus,Mischocarpus stipitatus S.T.Reynolds
Mitragyna parvifolia,Mitragyna parvifolia (Roxb.) Korth.
Mitrephora diversifolia,Mitrephora diversifolia Miq.
Mitrephora maingayi,Mitrephora maingayi Hook.f. & Thomson
Molinia caerulea,Molinia caerulea (L.) Moench
Mollinedia darienensis,Mollinedia viridiflora Tul.
Mollinedia pinchotiana,Mollinedia viridiflora Tul.
Mollinedia schottiana,Mollinedia schottiana (Spreng.) Perkins
Mollinedia widgrenii,Mollinedia widgrenii A.DC.
Mollugo,
Mollugo cerviana,Hypertelis cerviana (L.) Thulin
Mollugo verticillata,Mollugo verticillata L.
Monarda fistulosa,Monarda fistulosa L.
Monarda punctata,Monarda punctata L.
Monocarpia marginalis,Monocarpia maingayi (Hook.f. & Thomson) I.M.Turner
Monolepis nuttalliana,Blitum nuttallianum Schult.
Monopsis lutea,Monopsis lutea (L.) Urb.
Monroa squarrosa,
Moquiniastrum polymorphum,Moquiniastrum polymorphum (Less.) G.Sancho
Moraceae,
Morella cerifer,Morella cerifera (L.) Small
Morella quercifolia,Morella quercifolia (L.) Killick
Morinda citrifolia,Morinda citrifolia L.
Mortoniodendron anisophyllum,Mortoniodendron anisophyllum (Standl.) Standl. & Steyerm.
Morus alba,Morus alba L.
Morus insignis,Morus insignis Bureau
Mosannona garwoodii,Mosannona garwoodiae Chatrou & Welzenis
Mouriri,
Mouriri glazioviana,
Mouriri myrtilloides,Mouriri myrtilloides (Sw.) Poir.
Muellera campestris,Muellera campestris (Mart. ex Benth.) M.J.Silva & A.M.G.Azevedo
Muhlenbergia,
Muhlenbergia arenacea,Muhlenbergia arenacea (Buckley) Hitchc.
Muhlenbergia arenicola,Muhlenbergia arenicola Buckley
Muhlenbergia cuspidata,Muhlenbergia cuspidata (Torr. ex Hook.) Rydb.
Muhlenbergia filipes,Muhlenbergia sericea (Michx.) P.M.Peterson
Muhlenbergia fragilis,Muhlenbergia fragilis Swallen
Muhlenbergia montana,Muhlenbergia montana (Nutt.) Hitchc.
Muhlenbergia pauciflora,Muhlenbergia pauciflora Buckley
Muhlenbergia porteri,Muhlenbergia porteri Scribn. ex Beal
Muhlenbergia racemosa,Muhlenbergia racemosa (Michx.) Britton & al.
Muhlenbergia repens,Muhlenbergia repens (J.Presl) Hitchc.
Muhlenbergia torreyi,Muhlenbergia torreyi (Kunth) Hitchc. ex Bush
Munroa,
Munroa squarrosa,Munroa squarrosa (Nutt.) Torr.
Muraltia acipetala,Muraltia acipetala Harv.
Muraltia demissa,Muraltia demissa Wolley-Dod
Muraltia filiformis,Muraltia filiformis (Thunb.) DC.
Muraltia pageae,Muraltia pageae Levyns
Muraltia rosmarinifolia,Muraltia rosmarinifolia Levyns
Muraltia spinosa,Muraltia spinosa (L.) F.Forest & J.C.Manning
Muraltia thunbergii,Muraltia thunbergii Eckl. & Zeyh.
Musa banksii,Musa banksii F.Muell.
Musgravea heterophylla,Musgravea heterophylla L.S.Sm.
Musgravea stenostachya,Musgravea stenostachya F.Muell.
Mussaendopsis beccariana,Mussaendopsis beccariana Baill.
Myagropsis myagroides,
Myosotis alpestris,Myosotis alpestris F.W.Schmidt
Myosotis arvensis,Myosotis arvensis (L.) Hill
Myosotis palustris,Myosotis laxa Lehm.
Myosurus,
Myosurus apetalus,Myosurus apetalus Gay
Myracrodruon urundeuva,Myracrodruon urundeuva Allemão
Myrceugenia euosma,Myrceugenia euosma (O.Berg) D.Legrand
Myrceugenia mesomischa,Myrceugenia mesomischa (Burret) D.Legrand & Kausel
Myrceugenia myrcioides,Myrceugenia myrcioides (Cambess.) O.Berg
Myrceugenia oxysepala,Myrceugenia oxysepala (Burret) D.Legrand & Kausel
Myrcia,
Myrcia bella,Myrcia bella Cambess.
Myrcia brasiliensis,Myrcia brasiliensis Kiaersk.
Myrcia fallax,Myrcia splendens (Sw.) DC.
Myrcia gatunensis,Myrcia gatunensis Standl.
Myrcia grandiflora,Myrcia pubipetala Miq.
Myrcia guianensis,Myrcia guianensis (Aubl.) DC.
Myrcia hatschbachii,Myrcia hatschbachii D.Legrand
Myrcia hebeclada,
Myrcia hebepetala,Myrcia hebepetala DC.
Myrcia laruotteana,Myrcia laruotteana Cambess.
Myrcia lingua,Myrcia guianensis (Aubl.) DC.
Myrcia mollis,Myrcia mollis (Kunth) DC.
Myrcia multiflora,Myrcia multiflora (Lam.) DC.
Myrcia palustris,Myrcia palustris DC.
Myrcia rostrata,Myrcia splendens (Sw.) DC.
Myrcia sellowiana,Myrcia hartwegiana (O.Berg) Kiaersk.
Myrcia splendens,Myrcia splendens (Sw.) DC.
Myrcia tomentosa,Myrcia tomentosa (Aubl.) DC.
Myrcia velutina,Myrcia splendens (Sw.) DC.
Myrcia venulosa,Myrcia venulosa DC.
Myrcia vestita,Myrcia vestita DC.
Myrcianthes gigantea,Myrcianthes gigantea (D.Legrand) D.Legrand
Myrcianthes pungens,Myrcianthes pungens (O.Berg) D.Legrand
Myrcianthes rhopaloides,Myrcianthes rhopaloides (Kunth) McVaugh
Myrciaria,
Myrciaria delicatula,Myrciaria delicatula (DC.) O.Berg
Myrciaria floribunda,Myrciaria floribunda (H.West ex Willd.) O.Berg
Myrciaria glanduliflora,Myrciaria glanduliflora (Kiaersk.) Mattos & D.Legrand
Myrciaria multiflora,
Myriocarpa longipes,Myriocarpa longipes Liebm.
Myriophyllum spicatum,Myriophyllum spicatum L.
Myristica cinnamomea,Myristica cinnamomea King
Myristica dactyloides,Myristica dactyloides Gaertn.
Myristica globosa,Myristica globosa Warb.
Myristica insipida,Myristica insipida R.Br.
Myristica maingayi,Myristica maingayi Hook.f.
Myristica malabarica,Myristica malabarica Lam.
Myristica malaccensis,Myristica malaccensis Hook.f.
Myristica maxima,Myristica maxima Warb.
Myrospermum frutescens,Myrospermum frutescens Jacq.
Myroxylon peruiferum,Myroxylon peruiferum L.f.
Myrrhinium atropurpureum,Myrrhinium atropurpureum Schott
Myrsine,
Myrsine achradifolia,Myrsine achradifolia F.Muell.
Myrsine africana,Myrsine africana L.
Myrsine coriacea,Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.
Myrsine ferruginea,Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.
Myrsine gardneriana,Myrsine gardneriana A.DC.
Myrsine lancifolia,Myrsine lancifolia Mart.
Myrsine lorentziana,Myrsine parvula (Mez) Otegui
Myrsine porosa,Myrsine porosa F.Muell.
Myrsine umbellata,Myrsine umbellata Mart.
Myrsine urceolata,Myrsine urceolata R.Br.
Myrsine variabilis,Myrsine variabilis R.Br.
Myrtaceae,
Najas gracillima,Najas gracillima (A.Braun ex Engelm.) Magnus
Najas guadalupensis,Najas guadalupensis (Spreng.) Magnus
Najas minor,Najas minor All.
Nama dichotomum,
Nama hispidum,
Nardus stricta,Nardus stricta L.
Nauclea officinalis,Nauclea officinalis (Pierre ex Pit.) Merr. & Chun
Nauclea orientalis,Nauclea orientalis (L.) L.
Naucleopsis naga,Naucleopsis naga Pittier
Nectandra,
Nectandra angustifolia,Nectandra angustifolia (Schrad.) Nees & Mart.
Nectandra cissiflora,Nectandra cissiflora Nees
Nectandra cuspidata,Nectandra cuspidata Nees & Mart.
Nectandra fuzzy,
Nectandra lanceolata,Nectandra lanceolata Nees & Mart.
Nectandra lineata,Nectandra lineata (Kunth) Rohwer
Nectandra megapotamica,Nectandra megapotamica (Spreng.) Mez
Nectandra oppositifolia,Nectandra oppositifolia Nees & Mart.
Nectandra purpurea,Damburneya purpurea (Ruiz & Pav.) Trofimov
Nectandra speciosa,Ocotea porosa (Nees & Mart.) Barroso
Neea amplifolia,Neea amplifolia Donn.Sm.
Neea delicatula,Neea delicatula Standl.
Neea theifera,Neea theifera Oerst.
Neesia synandra,Neesia synandra Mast.
Neisosperma poweri,Ochrosia poweri F.M.Bailey
Neobalanocarpus heimii,Neobalanocarpus heimii (King) P.S.Ashton
Neolamarckia cadamba,Neolamarckia cadamba (Roxb.) Bosser
Neolitsea dealbata,Neolitsea dealbata (R.Br.) Merr.
Neolitsea zeylanica,Neolitsea cassia (L.) Kosterm.
Neomitranthes glomerata,Neomitranthes glomerata (D.Legrand) Govaerts
Neonauclea purpurea,Neonauclea purpurea (Roxb.) Merr.
Neorites kevedianus,
Neoscortechinia kingii,Neoscortechinia kingii (Hook.f.) Pax & K.Hoffm.
Neoscortechinia nicobarica,Neoscortechinia nicobarica (Hook.f.) Pax & K.Hoffm.
Neoscortechinia sumatrensis,Neoscortechinia sumatrensis S.Moore
Neouvaria foetida,Neouvaria foetida (Maingay ex Hook.f. & Thomson) AiryShaw
Nepeta cataria,Nepeta cataria L.
Nephelium costatum,Nephelium costatum Hiern
Nephelium eriopetalum,Nephelium cuspidatum Blume
Nephelium hamulatum,Nephelium hamulatum Radlk.
Nephelium maingayi,Nephelium maingayi Hiern
Nephelium ophiodes,Nephelium cuspidatum Blume
Nephelium pallens,Nephelium lappaceum L.
Nerisyrenia camporum,Nerisyrenia camporum (A.Gray) Greene
Niemeyera,
Niemeyera prunifera,Niemeyera prunifera (F.Muell.) F.Muell.
Nigritella nigra,Gymnadenia nigra (L.) Rchb.f.
Noccaea caerulescens,Noccaea caerulescens (J.Presl & C.Presl) F.K.Mey.
Nolina microcarpa,Nolina microcarpa S.Watson
Normanbya normanbyi,Normanbya normanbyi (W.Hill) L.H.Bailey
Nothaphoebe umbelliflora,Nothaphoebe umbelliflora (Blume) Blume
Nothocalais cuspidata,Nothocalais cuspidata (Pursh) Greene
Nothopegia beddomei,Nothopegia beddomei Gamble
Nymphaea odorata,Nymphaea odorata Aiton
Nymphoides aquatica,Nymphoides aquatica (J.F.Gmel.) Kuntze
Nyssa sylvatica,Nyssa sylvatica Marshall
Ochanostachys amentacea,Ochanostachys amentacea Mast.
Ochroma pyramidale,Ochroma pyramidale (Cav. ex Lam.) Urb.
Ocotea,
Ocotea beulahiae,Ocotea beulahiae Baitello
Ocotea camphoromoea,Ocotea camphoromoea Rohwer
Ocotea cernua,Ocotea cernua (Nees) Mez
Ocotea corymbosa,Ocotea corymbosa (Meisn.) Mez
Ocotea dendrodaphne,Ocotea dendrodaphne Mez
Ocotea diospyrifolia,Ocotea diospyrifolia (Meisn.) Mez
Ocotea floccifera,Ocotea floccifera Mez & Sodiro ex Mez
Ocotea hirtostyla,Ocotea hirtostyla VanDerWerff
Ocotea insularis,Ocotea insularis (Meisn.) Mez
Ocotea karsteniana,Ocotea karsteniana Mez
Ocotea oblonga,Ocotea oblonga (Meisn.) Mez
