parsed,common,lcvp,fishbase,ebird
Actinococcus peltoeformis,NA,NA,NA,NA
Actinococcus subcutaneus,NA,NA,NA,NA
Actinocyclus adriaticus,NA,NA,NA,NA
Actinocyclus curvatulus,NA,NA,NA,NA
Actinocyclus normanii,NA,NA,NA,NA
Actinocyclus octonarius,NA,NA,NA,NA
Actinocyclus spec,NA,NA,NA,NA
Actinodaphne macrophylla,vascular plants,Actinodaphne macrophylla (Blume) Nees,NA,NA
Actinodaphne pruinosa,vascular plants,Actinodaphne pruinosa Nees,NA,NA
Actinodaphne sesquipedalis,vascular plants,Actinodaphne sesquipedalis (Wall.) Hook.f. & Thomson ex Hook.f.,NA,NA
Actinodaphne tadulingamii,vascular plants,Actinodaphne tadulingamii Gamble,NA,NA
Actinomma leptodermum,NA,NA,NA,NA
Actinoptychus senarius,NA,NA,NA,NA
Actinoptychus undulatus,NA,NA,NA,NA
Actinopyga spinea,NA,NA,NA,NA
Actinoseta chelisparsa,NA,NA,NA,NA
Actinoseta hummelincki,NA,NA,NA,NA
Actinostemon communis,vascular plants,Actinostemon klotzschii (Didr.) Pax,NA,NA
Actinostemon comunis,vascular plants,NA,NA,NA
Actinostemon concepcionis,vascular plants,Actinostemon concepcionis (Chodat & Hassl.) Hochr.,NA,NA
Actinostemon concolor,vascular plants,Actinostemon concolor (Spreng.) Müll.Arg.,NA,NA
Actinostemon klotzschii,vascular plants,Actinostemon klotzschii (Didr.) Pax,NA,NA
Actinostemum concepcionis,NA,NA,NA,NA
Actinostola callosa,NA,NA,NA,NA
Actinothoe sphyrodeta,NA,NA,NA,NA
Actinotia polyodon,NA,NA,NA,NA
Actinotrichia fragilis,NA,NA,NA,NA
Actitis hypoleucos,birds,NA,NA,Actitis hypoleucos
Actitis macularia,birds,NA,NA,NA
Actitis macularius,birds,NA,NA,Actitis macularius
Actumnus dorsipes,NA,NA,NA,NA
Actumnus setifer,NA,NA,NA,NA
Actumnus squamosus,NA,NA,NA,NA
Acuminodeutopus heteruropus,NA,NA,NA,NA
Acuminodeutopus naglei,NA,NA,NA,NA
Acupalpus consputus,NA,NA,NA,NA
Acupalpus exiguus,NA,NA,NA,NA
Acupalpus parvulus,NA,NA,NA,NA
Acytolepis puspa,NA,NA,NA,NA
Adaina microdactyla,NA,NA,NA,NA
Adalaria proxima,NA,NA,NA,NA
Adalia bipunctata,NA,NA,NA,NA
Adalia decempunctata,NA,NA,NA,NA
Adamsia carciniopados,NA,NA,NA,NA
Adamsia sociabilis,NA,NA,NA,NA
Addisonia paradoxa,NA,NA,NA,NA
Adelia triloba,vascular plants,Adelia triloba (Müll.Arg.) Hemsl.,NA,NA
Adelie penguin,NA,NA,NA,NA
Adelosebastes latens,fishes,NA,Adelosebastes latens,NA
Adelosebastes lutens,fishes,NA,NA,NA
Adelphagrotis indeterminata,NA,NA,NA,NA
Adelphagrotis stellaris,NA,NA,NA,NA
Adenandra uniflora,vascular plants,Adenandra uniflora (L.) Willd.,NA,NA
Adenandra villosa,vascular plants,Adenandra villosa (P.J.Bergius) Licht. ex Schult.,NA,NA
Adenanthera bicolor,vascular plants,Adenanthera bicolor Moon,NA,NA
Adenifera armata,NA,NA,NA,NA
Adenocline pauciflora,vascular plants,Adenocline pauciflora Turcz.,NA,NA
Adenomera marmorata,NA,NA,NA,NA
Adenorama marmorata,NA,NA,NA,NA
Adenostyles glabra,vascular plants,Adenostyles alpina (L.) Bluff & Fingerh.,NA,NA
Adeonella lichenoides,NA,NA,NA,NA
Adeonellopsis gracilis,NA,NA,NA,NA
Adeonellopsis kermadecensis,NA,NA,NA,NA
Adeonellopsis neozelanica,NA,NA,NA,NA
Adeonellopsis pentapora,NA,NA,NA,NA
Adeonellopsis pervipuncta,NA,NA,NA,NA
Aderus populneus,NA,NA,NA,NA
Adicella filicornis,NA,NA,NA,NA
Adicella reducta,NA,NA,NA,NA
Adipicola crypta,NA,NA,NA,NA
Adipicola pacifica,NA,NA,NA,NA
Admete contabulata,NA,NA,NA,NA
Admete couthouyi,NA,NA,NA,NA
Admete gracilior,NA,NA,NA,NA
Admete tenuissima,NA,NA,NA,NA
Admete viridula,NA,NA,NA,NA
Adontorhina cyclia,NA,NA,NA,NA
Adontorhina lynnae,NA,NA,NA,NA
Adoxophyes orana,NA,NA,NA,NA
Adrana tellinoides,NA,NA,NA,NA
Adrastus pallens,NA,NA,NA,NA
Adreus fascicularis,NA,NA,NA,NA
Adventor elongatus,fishes,NA,Adventor elongatus,NA
Adyte assimilis,NA,NA,NA,NA
Aechmophorus clarkii,birds,NA,NA,Aechmophorus clarkii
Aechmophorus occidentalis,birds,NA,NA,Aechmophorus occidentalis
Aedicira belgicae,NA,NA,NA,NA
Aedicira pacifica,NA,NA,NA,NA
Aedicira parva,NA,NA,NA,NA
Aega dentata,NA,NA,NA,NA
Aega monophthalma,NA,NA,NA,NA
Aega psora,NA,NA,NA,NA
Aegathoa medialis,NA,NA,NA,NA
Aegathoa oculata,NA,NA,NA,NA
Aega ventrosa,NA,NA,NA,NA
Aegina citrea,NA,NA,NA,NA
Aeginella longicornis,NA,NA,NA,NA
Aeginella spinosa,NA,NA,NA,NA
Aeginina longicornis,NA,NA,NA,NA
Aeginopsis laurentii,NA,NA,NA,NA
Aeginura grimaldii,NA,NA,NA,NA
Aegiphila integrifolia,vascular plants,Aegiphila integrifolia (Jacq.) B.D.Jacks.,NA,NA
Aegiphila novogranatensis,vascular plants,Aegiphila novogranatensis Moldenke,NA,NA
Aegiphila panamensis,vascular plants,Aegiphila panamensis Moldenke,NA,NA
Aegiphila sellowiana,vascular plants,Aegiphila sellowiana Cham.,NA,NA
Aegires citrinus,NA,NA,NA,NA
Aegires punctilucens,NA,NA,NA,NA
Aegisthus aculeatus,NA,NA,NA,NA
Aegisthus dubius,NA,NA,NA,NA
Aegisthus mucronatus,NA,NA,NA,NA
Aegithalos caudatus,birds,NA,NA,Aegithalos caudatus
Aegolius acadicus,birds,NA,NA,Aegolius acadicus
Aegolius funereus,birds,NA,NA,Aegolius funereus
Aemona amathusia,NA,NA,NA,NA
Aeolidia papillosa,NA,NA,NA,NA
Aeolidiella alderi,NA,NA,NA,NA
Aeolidiella glauca,NA,NA,NA,NA
Aeolidiella sanguinea,NA,NA,NA,NA
Aeoliscus strigatus,fishes,NA,Aeoliscus strigatus,NA
Aeoloplides elegans,NA,NA,NA,NA
Aepinus septemspinosus,NA,NA,NA,NA
Aepyceros melampus,mammals,NA,NA,NA
Aequipecten glyptus,NA,NA,NA,NA
Aequipecten muscosus,NA,NA,NA,NA
Aequipecten opercularis,NA,NA,NA,NA
Aequorea macrodactyla,NA,NA,NA,NA
Aequorea vitrina,NA,NA,NA,NA
Aeronautes saxatalis,birds,NA,NA,Aeronautes saxatalis
Aeropedellus clavatus,NA,NA,NA,NA
Aeropsis rostrata,NA,NA,NA,NA
Aesalus asiaticus,NA,NA,NA,NA
Aeschynomene pratensis,vascular plants,Aeschynomene pratensis Small,NA,NA
Aesculus hippocastanum,vascular plants,Aesculus hippocastanum L.,NA,NA
Aesopia cornuta,fishes,NA,Aesopia cornuta,NA
Aesopus stearnsii,NA,NA,NA,NA
Aetea anguina,NA,NA,NA,NA
Aetea australis,NA,NA,NA,NA
Aetea capillaris,NA,NA,NA,NA
Aetea ligulata,NA,NA,NA,NA
Aetea sica,NA,NA,NA,NA
Aetea truncata,NA,NA,NA,NA
Aethaloperca rogaa,fishes,NA,Aethaloperca rogaa,NA
Aethalura intertexta,NA,NA,NA,NA
Aethalura punctulata,NA,NA,NA,NA
Aetheloperca rogaa,fishes,NA,Aethaloperca rogaa,NA
Aetheopappus caucasicus,vascular plants,Psephellus caucasicus (Sosn.) Greuter,NA,NA
Aethes cnicana,NA,NA,NA,NA
Aethes margaritana,NA,NA,NA,NA
Aethes rubigana,NA,NA,NA,NA
Aethes rutilana,NA,NA,NA,NA
Aethes smeathmanniana,NA,NA,NA,NA
Aethia cristatella,birds,NA,NA,Aethia cristatella
Aethia psittacula,birds,NA,NA,Aethia psittacula
Aethomys hindei,mammals,NA,NA,NA
Aethotaxis mitopteryx,fishes,NA,Aethotaxis mitopteryx mitopteryx,NA
Aetideopsis armata,NA,NA,NA,NA
Aetideopsis carinata,NA,NA,NA,NA
Aetideopsis minor,NA,NA,NA,NA
Aetideopsis multiserrata,NA,NA,NA,NA
Aetideopsis rostrata,NA,NA,NA,NA
Aetideus acutus,NA,NA,NA,NA
Aetideus arcuatus,NA,NA,NA,NA
Aetideus armatus,NA,NA,NA,NA
Aetideus australis,NA,NA,NA,NA
Aetideus bradyi,NA,NA,NA,NA
Aetideus geisbrechti,NA,NA,NA,NA
Aetideus giesbrechti,NA,NA,NA,NA
Aetideus pacificus,NA,NA,NA,NA
Aetideus pseudarmatus,NA,NA,NA,NA
Aetobatus narinari,fishes,NA,Aetobatus narinari,NA
Aetomylaeus nichofii,fishes,NA,Aetomylaeus nichofii,NA
Aeverrillia armata,NA,NA,NA,NA
Aeverrillia pilosa,NA,NA,NA,NA
Aeverrillia setigera,NA,NA,NA,NA
Agalinis aspera,vascular plants,Agalinis aspera (Douglas ex Benth.) Britton,NA,NA
Agalinus purpurea,vascular plants,NA,NA,NA
Agalma elegans,NA,NA,NA,NA
Agalma okeni,NA,NA,NA,NA
Agapeta hamana,NA,NA,NA,NA
Agapetus fuscipes,NA,NA,NA,NA
Agardhiella tenera,NA,NA,NA,NA
Agaricia fragilis,NA,NA,NA,NA
Agaricochirus alexandri,NA,NA,NA,NA
Agarum clathratum,NA,NA,NA,NA
Agarum fimbriatum,NA,NA,NA,NA
Agassizia excentrica,NA,NA,NA,NA
Agathidium nigripenne,NA,NA,NA,NA
Agathis atropurpurea,vascular plants,Agathis atropurpurea B.Hyland,NA,NA
Agathis robusta,vascular plants,Agathis robusta (C.Moore ex F.Muell.) F.M.Bailey,NA,NA
Agathosma bifida,vascular plants,Agathosma bifida (Jacq.) Bartl. & H.L.Wendl.,NA,NA
Agathosma capensis,vascular plants,Agathosma capensis (L.) Dümmer,NA,NA
Agathosma ciliaris,vascular plants,Agathosma ciliaris (L.) Druce,NA,NA
Agathosma hookeri,vascular plants,Agathosma hookeri Sond.,NA,NA
Agathosma imbricata,vascular plants,Agathosma imbricata (L.) Willd.,NA,NA
Agathosma lanceolata,vascular plants,Agathosma lanceolata (L.) Engl.,NA,NA
Agathosma serpyllacea,vascular plants,Agathosma serpyllacea Licht. ex Schult.,NA,NA
Agathotoma candidissima,NA,NA,NA,NA
Agatrix smithii,NA,NA,NA,NA
Agelaius phoeniceus,birds,NA,NA,Agelaius phoeniceus
Agelaius tricolor,birds,NA,NA,Agelaius tricolor
Agelasa nigriceps,NA,NA,NA,NA
Agelas mauritiana,NA,NA,NA,NA
Agelosus carinatus,NA,NA,NA,NA
Agelosus unicolor,NA,NA,NA,NA
Ageneotettix deorum,NA,NA,NA,NA
Ageratina herbacea,vascular plants,Ageratina herbacea (A.Gray) R.M.King & H.Rob.,NA,NA
Ageratum altissimum,vascular plants,Ageratina altissima (L.) R.M.King & H.Rob.,NA,NA
Agetus flaccus,NA,NA,NA,NA
Agetus limbatus,NA,NA,NA,NA
Agetus typicus,NA,NA,NA,NA
Agkistrodon contortrix,NA,NA,NA,NA
Aglaia aspera,vascular plants,Aglaia sexipetala Griff.,NA,NA
Aglaia australiensis,vascular plants,Aglaia australiensis Pannell,NA,NA
Aglaia barberi,vascular plants,NA,NA,NA
Aglaia cordata,vascular plants,Aglaia tomentosa Teijsm. & Binn.,NA,NA
Aglaia exstipulata,vascular plants,Aglaia exstipulata (Griff.) W.Theob.,NA,NA
Aglaia forbesii,vascular plants,Aglaia forbesii King,NA,NA
Aglaia ganggo,vascular plants,Aglaia sylvestris (M.Roem.) Merr.,NA,NA
Aglaia glabriflora,vascular plants,Aglaia leptantha Miq.,NA,NA
Aglaia grandis,vascular plants,Aglaia grandis Korth.,NA,NA
Aglaia jainii,vascular plants,Aglaia lawii (Wight) C.J.Saldanha,NA,NA
Aglaia meliosmoides,vascular plants,Aglaia simplicifolia (Bedd.) Harms,NA,NA
Aglaia meridionalis,vascular plants,Aglaia meridionalis Pannell,NA,NA
Aglaia odoratissima,vascular plants,Aglaia odoratissima Blume,NA,NA
Aglaia oligocarpa,vascular plants,Aglaia lawii (Wight) C.J.Saldanha,NA,NA
Aglaia oligophylla,vascular plants,Aglaia oligophylla Miq.,NA,NA
Aglaia palembanica,vascular plants,Aglaia palembanica Miq.,NA,NA
Aglaia ridleyi,NA,Aglaia oligophylla Miq.,NA,NA
Aglaia rubescens,vascular plants,Aglaia macrocarpa (Miq.) Pannell,NA,NA
Aglaia rufa,NA,Aglaia rufibarbis Ridl.,NA,NA
Aglaia sapindina,vascular plants,Aglaia sapindina (F.Muell.) Harms,NA,NA
Aglaia tenuicaulis,vascular plants,Aglaia tenuicaulis Hiern,NA,NA
Aglaia tomentosa,vascular plants,Aglaia tomentosa Teijsm. & Binn.,NA,NA
Aglais io,NA,NA,NA,NA
Aglais urticae,NA,NA,NA,NA
Aglaja ocelligera,NA,NA,NA,NA
Aglantha digitale,NA,NA,NA,NA
Aglantha digitalis,NA,NA,NA,NA
Aglaodiaptomus clavipes,NA,NA,NA,NA
Aglaophamus circinata,NA,NA,NA,NA
Aglaophamus erectans,NA,NA,NA,NA
Aglaophamus igalis,NA,NA,NA,NA
Aglaophamus inermis,NA,NA,NA,NA
Aglaophamus lyrochaeta,NA,NA,NA,NA
Aglaophamus malmgreni,NA,NA,NA,NA
Aglaophamus minusculus,NA,NA,NA,NA
Aglaophamus rubella,NA,NA,NA,NA
Aglaophamus verilli,NA,NA,NA,NA
Aglaophamus verrilli,NA,NA,NA,NA
Aglaophenia acacia,NA,NA,NA,NA
Aglaophenia kirchenpaueri,NA,NA,NA,NA
Aglaophenia pluma,NA,NA,NA,NA
Aglaophenia tubulifera,NA,NA,NA,NA
Aglaothamnion bipinnatum,NA,NA,NA,NA
Aglaothamnion byssoides,NA,NA,NA,NA
Aglaothamnion hookeri,NA,NA,NA,NA
Aglaothamnion pseudobyssoides,NA,NA,NA,NA
Aglaothamnion roseum,NA,NA,NA,NA
Aglaothamnion sepositum,NA,NA,NA,NA
Aglaothamnion tripinnatum,NA,NA,NA,NA
Aglaozonia cutleria,NA,NA,NA,NA
Aglaura hemistoma,NA,NA,NA,NA
Aglossa caprealis,NA,NA,NA,NA
Aglossa pinguinalis,NA,NA,NA,NA
Agnewia tritoniformis,NA,NA,NA,NA
Agnezia septentrionalis,NA,NA,NA,NA
Agonandra brasiliensis,vascular plants,Agonandra brasiliensis Miers ex Benth.,NA,NA
Agonandra excelsa,vascular plants,Agonandra excelsa Griseb.,NA,NA
Agonopsis vulsa,fishes,NA,Agonopsis vulsa,NA
Agonopterix angelicella,NA,NA,NA,NA
Agonopterix arenella,NA,NA,NA,NA
Agonopterix conterminella,NA,NA,NA,NA
Agonopterix heracliana,NA,NA,NA,NA
Agonopterix liturosa,NA,NA,NA,NA
Agonopterix ocellana,NA,NA,NA,NA
Agonopterix purpurea,NA,NA,NA,NA
Agonopterix subpropinquella,NA,NA,NA,NA
Agonostomus monticola,fishes,NA,Agonostomus monticola,NA
Agonum aurelium,NA,NA,NA,NA
Agonum chalcomum,NA,NA,NA,NA
Agonum eurydamas,NA,NA,NA,NA
Agonum fuliginosum,NA,NA,NA,NA
Agonum gracile,NA,NA,NA,NA
Agonum japonicum,NA,NA,NA,NA
Agonum kitanoi,NA,NA,NA,NA
Agonum lampros,NA,NA,NA,NA
Agonum piceum,NA,NA,NA,NA
Agonum thoreyi,NA,NA,NA,NA
Agonus acipenserinus,fishes,NA,Podothecus accipenserinus,NA
Agonus cataphractus,fishes,NA,Agonus cataphractus,NA
Agoseris taraxacifolia,vascular plants,Agoseris parviflora (Nutt.) D.Dietr.,NA,NA
Agriopis aurantiaria,NA,NA,NA,NA
Agriopis marginaria,NA,NA,NA,NA
Agriopoma texasiana,NA,NA,NA,NA
Agriopoma texasianum,NA,NA,NA,NA
Agriphila geniculea,NA,NA,NA,NA
Agriphila inquinatella,NA,NA,NA,NA
Agriphila latistria,NA,NA,NA,NA
Agriphila selasella,NA,NA,NA,NA
Agriphila straminella,NA,NA,NA,NA
Agriphila tristella,NA,NA,NA,NA
Agrius convolvuli,NA,NA,NA,NA
Agrochola circellaris,NA,NA,NA,NA
Agrochola litura,NA,NA,NA,NA
Agrochola lota,NA,NA,NA,NA
Agrochola lychnidis,NA,NA,NA,NA
Agrochola macilenta,NA,NA,NA,NA
Agrochola pulchella,NA,NA,NA,NA
Agrochola purpurea,NA,NA,NA,NA
Agroperina dubitans,NA,NA,NA,NA
Agroperina lateritia,NA,NA,NA,NA
Agropsar philippensis,birds,NA,NA,Agropsar philippensis
Agropyron repens,vascular plants,Elymus repens (L.) Gould,NA,NA
Agropyron smithii,vascular plants,Elymus smithii (Rydb.) Gould,NA,NA
Agrostichthys parkeri,fishes,NA,Agrostichthys parkeri,NA
Agrostis alpina,vascular plants,Agrostis alpina Scop.,NA,NA
Agrostis canina,vascular plants,Agrostis canina L.,NA,NA
Agrostis capillaris,vascular plants,Agrostis capillaris L.,NA,NA
Agrostis hyemalis,vascular plants,Agrostis hyemalis (Walter) Britton & al.,NA,NA
Agrostis rupestris,vascular plants,Agrostis rupestris All.,NA,NA
Agrostis stolonifera,vascular plants,Agrostis stolonifera L.,NA,NA
Agrostistachys borneensis,vascular plants,Agrostistachys borneensis Becc.,NA,NA
Agrostis vinealis,vascular plants,Agrostis vinealis Schreb.,NA,NA
Agrotera nemoralis,NA,NA,NA,NA
Agrotis clavis,NA,NA,NA,NA
Agrotis exclamationis,NA,NA,NA,NA
Agrotis ipsilon,NA,NA,NA,NA
Agrotis obliqua,NA,NA,NA,NA
Agrotis segetum,NA,NA,NA,NA
Agrotis vancouverensis,NA,NA,NA,NA
Agrotis vestigialis,NA,NA,NA,NA
Agrypnus cordicollis,NA,NA,NA,NA
Ahliesaurs berryi,fishes,NA,NA,NA
Ahnfeldtia plicata,NA,NA,NA,NA
Ahnfeltia plicata,NA,NA,NA,NA
Ahnfeltiopsis devoniensis,NA,NA,NA,NA
Ahnfeltiopsis flabelliformis,NA,NA,NA,NA
Ahnfeltiopsis paradoxa,NA,NA,NA,NA
Ahredoderus sayanus,NA,NA,NA,NA
Aidanosagitta naikaiensis,NA,NA,NA,NA
Aidanosagitta neglecta,NA,NA,NA,NA
Aidanosagitta regularis,NA,NA,NA,NA
Aidia wallichiana,vascular plants,Aidia densiflora (Wall.) Masam.,NA,NA
Ailanthus integrifolia,vascular plants,Ailanthus integrifolia Lam.,NA,NA
Aimophila aestivalis,birds,NA,NA,NA
Aimophila botterii,birds,NA,NA,NA
Aimophila carpalis,birds,NA,NA,NA
Aimophila cassinii,birds,NA,NA,NA
Aimophila ruficeps,birds,NA,NA,Aimophila ruficeps
Aimulosia costata,NA,NA,NA,NA
Aimulosia marsupium,NA,NA,NA,NA
Aiphanes erinacea,vascular plants,Aiphanes erinacea (H.Karst.) H.Wendl.,NA,NA
Aiptasia mutabilis,NA,NA,NA,NA
Aiptasiomorpha texaensis,NA,NA,NA,NA
Aipysurus duboisii,NA,NA,NA,NA
Aipysurus eydouxii,NA,NA,NA,NA
Aipysurus laevis,NA,NA,NA,NA
Aix galericulata,birds,NA,NA,Aix galericulata
Aix sponsa,birds,NA,NA,Aix sponsa
Aizoon paniculatum,vascular plants,Aizoon paniculatum L.,NA,NA
Ajuga pyramidalis,vascular plants,Ajuga pyramidalis L.,NA,NA
Ajuga reptans,vascular plants,Ajuga reptans L.,NA,NA
Akanthophoreus australis,NA,NA,NA,NA
Akanthophoreus gracilis,NA,NA,NA,NA
Akarotaxis nudiceps,fishes,NA,Akarotaxis nudiceps,NA
Akashiwo sanguinea,NA,NA,NA,NA
Akatopora circumsaepta,NA,NA,NA,NA
Akera bullata,NA,NA,NA,NA
Alaba incerta,NA,NA,NA,NA
Alaba picta,NA,NA,NA,NA
Alangium ebenaceum,vascular plants,Alangium ebenaceum (C.B.Clarke) Harms,NA,NA
Alangium griffithii,vascular plants,Alangium uniloculare (Griff.) King,NA,NA
Alangium nobile,vascular plants,Alangium nobile (C.B.Clarke) Harms,NA,NA
Alangium ridleyi,vascular plants,Alangium ridleyi King,NA,NA
Alangium villosum,vascular plants,Alangium villosum (Blume) Wangerin,NA,NA
Alaria crassifolia,NA,NA,NA,NA
Alaria esculenta,NA,NA,NA,NA
Alatocladia yessoensis,NA,NA,NA,NA
Alauda arvensis,birds,NA,NA,Alauda arvensis
Albatrossia pectoralis,fishes,NA,Albatrossia pectoralis,NA
Albizia niopoides,vascular plants,Albizia niopoides (Benth.) Burkart,NA,NA
Albizia odoratissima,vascular plants,Albizia odoratissima (L.f.) Benth.,NA,NA
Albizia pedicellata,vascular plants,Albizia pedicellata Benth.,NA,NA
Albizia polycephala,vascular plants,Albizia polycephala (Benth.) Killip,NA,NA
Albula forsteri,fishes,NA,Albula argentea,NA
Albula glossodonta,fishes,NA,Albula glossodonta,NA
Albula vulpes,fishes,NA,Albula vulpes,NA
Albunea gibbesii,NA,NA,NA,NA
Albunea groeningi,NA,NA,NA,NA
Albunea paretii,NA,NA,NA,NA
Alburnus alburnus,fishes,NA,Alburnus alburnus,NA
Alcadia alta,NA,NA,NA,NA
Alcadia striata,NA,NA,NA,NA
Alcaldia striata,NA,NA,NA,NA
Alca torda,birds,NA,NA,Alca torda
Alcedo atthis,birds,NA,NA,Alcedo atthis
Alces alces,mammals,NA,NA,NA
Alchemilla alpina,vascular plants,Alchemilla alpina L.,NA,NA
Alchemilla caucasica,vascular plants,Alchemilla caucasica Buser,NA,NA
Alchemilla conjuncta,vascular plants,Alchemilla conjuncta Bab.,NA,NA
Alchemilla pentaphyllea,vascular plants,Alchemilla pentaphyllea L.,NA,NA
Alchemilla vulgaris,vascular plants,Alchemilla vulgaris L.,NA,NA
Alchornea coelophylla,vascular plants,Alchornea coelophylla Pax & K.Hoffm.,NA,NA
Alchornea costaricensis,vascular plants,Alchornea costaricensis Pax & K.Hoffm.,NA,NA
Alchornea glandulosa,vascular plants,Alchornea glandulosa Poepp.,NA,NA
Alchornea latifolia,vascular plants,Alchornea latifolia Sw.,NA,NA
Alchornea rugosa,vascular plants,Alchornea rugosa (Lour.) Müll.Arg.,NA,NA
Alchornea triplinervia,vascular plants,Alchornea triplinervia (Spreng.) Müll.Arg.,NA,NA
Alcis repandata,NA,NA,NA,NA
Alcospira rosea,NA,NA,NA,NA
Alcyonidium albidum,NA,NA,NA,NA
Alcyonidium cellarioides,NA,NA,NA,NA
Alcyonidium coccineum,NA,NA,NA,NA
Alcyonidium diaphanum,NA,NA,NA,NA
Alcyonidium gelatinosum,NA,NA,NA,NA
Alcyonidium hirsutum,NA,NA,NA,NA
Alcyonidium mamillatum,NA,NA,NA,NA
Alcyonidium mytili,NA,NA,NA,NA
Alcyonidium parasiticum,NA,NA,NA,NA
Alcyonidium polyoum,NA,NA,NA,NA
Alcyonidium verrilli,NA,NA,NA,NA
Alcyonium carneum,NA,NA,NA,NA
Alcyonium digitatum,NA,NA,NA,NA
Alcyonium glomeratum,NA,NA,NA,NA
Alcyonium palmatum,NA,NA,NA,NA
Alcyonium rudyi,NA,NA,NA,NA
Alderia modesta,NA,NA,NA,NA
Alderina imbellis,NA,NA,NA,NA
Alderina nodulosa,NA,NA,NA,NA
Alderina pacifera,NA,NA,NA,NA
Alderina tuberosa,NA,NA,NA,NA
Aldisa zetlandica,NA,NA,NA,NA
Aldrichetta forsteri,fishes,NA,Aldrichetta forsteri,NA
Aldrovandia affinis,fishes,NA,Aldrovandia affinis,NA
Aldrovandia gracilis,fishes,NA,Aldrovandia gracilis,NA
Aldrovandia oleosa,fishes,NA,Aldrovandia oleosa,NA
Aldrovandia phalacra,fishes,NA,Aldrovandia phalacra,NA
Aldrovandia rostrata,fishes,NA,Aldrovandia rostrata,NA
Alectis alexandrinus,fishes,NA,Alectis alexandrina,NA
Alectis ciliaris,fishes,NA,Alectis ciliaris,NA
Alectis indica,fishes,NA,Alectis indica,NA
Alectoria nigricans,NA,NA,NA,NA
Alectoria nitidula,NA,NA,NA,NA
Alectoria ochroleuca,NA,NA,NA,NA
Alectoris chukar,birds,NA,NA,Alectoris chukar
Aleimma loeflingiana,NA,NA,NA,NA
Alentia gelatinosa,NA,NA,NA,NA
Alentiana aurantiaca,NA,NA,NA,NA
Aleochara binotata,NA,NA,NA,NA
Aleochara bipustulata,NA,NA,NA,NA
Alepes apercna,fishes,NA,Alepes apercna,NA
Alepes djedaba,fishes,NA,Alepes djedaba,NA
Alepes djeddaba,fishes,NA,Alepes djedaba,NA
Alepes kalla,fishes,NA,Alepes kleinii,NA
Alepes kleinii,fishes,NA,Alepes kleinii,NA
Alepisaurus brevirostris,fishes,NA,Alepisaurus brevirostris,NA
Alepisaurus ferox,fishes,NA,Alepisaurus ferox,NA
Alepocephalus agassizii,fishes,NA,Alepocephalus agassizii,NA
Alepocephalus australis,fishes,NA,Alepocephalus australis,NA
Alepocephalus bairdii,fishes,NA,Alepocephalus bairdii,NA
Alepocephalus bicolor,fishes,NA,Alepocephalus bicolor,NA
Alepocephalus productus,fishes,NA,Alepocephalus productus,NA
Alepocephalus rostratus,fishes,NA,Alepocephalus rostratus,NA
Alertichthys blacki,fishes,NA,Alertichthys blacki,NA
Alertigorgia orientalis,NA,NA,NA,NA
Aleurites rockinghamensis,vascular plants,Aleurites rockinghamensis (Baill.) P.I.Forst.,NA,NA
Alexandrium catenella,NA,NA,NA,NA
Alexandrium fraterculus,NA,NA,NA,NA
Alexandrium insuetum,NA,NA,NA,NA
Alexandrium margalefii,NA,NA,NA,NA
Alexandrium minutum,NA,NA,NA,NA
Alexandrium ostenfeldii,NA,NA,NA,NA
Alexandrium pseudogonyaulax,NA,NA,NA,NA
Alexandrium tamarense,NA,NA,NA,NA
Alexania inazawai,NA,NA,NA,NA
Algirosphaera robusta,NA,NA,NA,NA
Algon grandicollis,NA,NA,NA,NA
Alia carinata,NA,NA,NA,NA
Alia gausapata,NA,NA,NA,NA
Alia tuberosa,NA,NA,NA,NA
Alibertia dwyeri,vascular plants,Alibertia dwyeri Delprete & C.H.Perss.,NA,NA
Alibertia edulis,vascular plants,Alibertia edulis (Rich.) A.Rich. ex DC.,NA,NA
Alibertia macrophylla,vascular plants,Cordiera macrophylla (K.Schum.) Kuntze,NA,NA
Alienacanthomysis macropsis,NA,NA,NA,NA
Aligena elevata,NA,NA,NA,NA
Aligena texasiana,NA,NA,NA,NA
Alitta succinea,NA,NA,NA,NA
Alitta virens,NA,NA,NA,NA
Alkmaria romijni,NA,NA,NA,NA
Allantactis parasitica,NA,NA,NA,NA
Alle alle,birds,NA,NA,Alle alle
Allia ramosa,NA,NA,NA,NA
Alliodoris hedley,NA,NA,NA,NA
Allionia incarnata,vascular plants,Allionia incarnata L.,NA,NA
Allita virens,NA,NA,NA,NA
Allium acuminatum,vascular plants,Allium acuminatum Hook.,NA,NA
Allium angulosum,vascular plants,Allium angulosum L.,NA,NA
Allium canadense,vascular plants,Allium canadense L.,NA,NA
Allium drummondii,vascular plants,Allium drummondii Regel,NA,NA
Allium macropetalum,vascular plants,Allium macropetalum Rydb.,NA,NA
Allium schoenoprasum,vascular plants,Allium schoenoprasum L.,NA,NA
Allium stellatum,vascular plants,Allium stellatum Nutt. ex KerGawl.,NA,NA
Allium textile,vascular plants,Allium textile A.Nelson & J.F.Macbr.,NA,NA
Allocentrotus fragilis,NA,NA,NA,NA
Alloclinus holderi,fishes,NA,Alloclinus holderi,NA
Allocyttus folletti,fishes,NA,Allocyttus folletti,NA
Allocyttus niger,fishes,NA,Allocyttus niger,NA
